,Area code,Area name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
136,S12000021,North Ayrshire,10768,11273,11752,12064,12072,12722,13135,14069,15036,15281,15676,15207,15676,15785,16475,17365,18169,18273,18642,19079,19477,20258,19604,21603
137,S12000028,South Ayrshire,13610,13996,15044,15711,16415,17068,18063,19104,20025,19942,20734,20409,21188,21547,21596,21598,22764,23292,23648,24677,25178,25562,22938,24777
138,Not available,Edinburgh and South East Scotland City Region,16926,17209,18076,18985,20152,21569,22792,23821,25136,26069,26376,26230,26283,26677,27312,28222,29278,29910,31307,32669,33572,34505,32607,35210
139,S12000036,City of Edinburgh,23539,23888,25645,27495,29657,32338,34561,36355,38100,39725,39666,40713,39958,40004,40921,42191,43205,43728,46604,48982,50239,51539,47859,51776
140,S12000010,East Lothian,10238,10373,10645,10999,11642,12350,12881,13286,14401,14830,14672,14078,14450,14876,15179,16457,17344,17698,18260,19153,19953,20481,19309,20826
141,S12000019,Midlothian,10043,10433,11104,11518,11986,13015,13531,13965,14290,14780,15332,14638,15001,15478,16002,17232,18154,18985,19236,19720,20619,21211,20780,22020
142,S12000040,West Lothian,16722,17142,17235,17574,18452,19390,20455,21049,22138,22920,23476,22222,22943,23978,24293,23996,25083,26477,26749,27906,29179,29926,29086,31042
143,S12000047,Fife,12775,13014,13457,13809,14417,15058,15789,16377,17688,18278,18965,18114,18501,18747,19247,19994,20852,21300,21931,22440,22533,23218,22355,24644
144,S12000026,Scottish Borders,13726,13760,14132,14674,15189,15810,16070,16893,17714,17894,18553,17980,18186,18903,19342,20130,21871,22044,22255,22883,23927,24504,23683,25182
145,Not available,Glasgow City Region,14768,15212,15837,16710,17258,18264,19498,20774,21942,22321,23240,22635,22523,23198,23573,24650,25904,26204,26548,27912,28408,29288,27647,29663
146,S12000049,Glasgow City,20032,20905,21888,23118,23657,25186,27368,29474,31166,32027,32933,32361,31593,32416,32752,34377,35338,35409,35618,37105,37682,39143,37438,40244
147,S12000045,East Dunbartonshire,8317,8625,8855,9281,9611,10280,10729,11304,11936,12093,12336,11621,11761,12326,12676,13213,14157,14551,14944,16008,16244,16696,15132,16124
148,S12000039,West Dunbartonshire,10623,10987,11599,12525,13048,13797,14933,15959,16999,17179,18101,17603,18159,18821,18277,18617,19463,19760,21222,22495,23851,24641,22269,24051
149,S12000050,North Lanarkshire,13159,13317,13770,14543,15118,15922,16793,17698,18571,18763,19778,19002,19221,19769,20125,20947,23096,23396,23956,25498,26255,27138,25838,27445
150,S12000029,South Lanarkshire,12961,13257,13541,14178,14805,15665,16351,17514,18816,19049,20122,19617,19682,20107,20672,21697,22498,22733,23140,24378,24407,24755,23292,25540
151,S12000038,Renfrewshire,14872,15194,16079,16852,17470,18223,19109,20080,21073,20780,21729,20868,21050,21831,22118,23392,25459,26279,25782,27456,28232,28919,26322,28058
152,S12000011,East Renfrewshire,7830,8126,8468,8723,9029,9499,9862,10128,10448,10622,11133,10382,10713,11056,11658,12440,13209,13553,13844,14710,14713,14916,14050,14698
153,S12000018,Inverclyde,10897,10859,11561,12392,13203,14036,15223,15644,16087,16276,17154,16832,16745,17553,18423,18022,18993,19323,19400,19528,18923,18597,16884,17501
154,Not available,Scottish Island Councils,14463,15421,16014,17147,17373,18658,20344,21427,22067,22504,23937,24199,24728,26319,26767,26938,28163,27688,27246,28374,28143,30000,27872,29803
155,S12000013,Na h-Eileanan Siar,10510,11437,11954,13060,13273,14433,15630,16333,16989,17315,18359,17798,18839,19670,20006,19923,20662,20552,20615,21527,22473,24242,23383,25125
